Age Range,Industry, Job title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
25-34,Computing Or Tech,Solutions Engineer ,75000,2000,United StatesD,United States,Colorado,Colorado Springs,8 - 10 years,5 - 7 years,Unknown,Man
25-34,Engineering Or Manufacturing,Engineering Geologist,75000,4000,AUD/NZD,Australia,Unknown,Sydney,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Sdet,75000,0,United StatesD,United States,Oregon,Portland,8 - 10 years,2 - 4 years,College degree,Man
25-34,Computing Or Tech,Software Tester,75000,0,CAD,Canada,Unknown,Ottawa,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Education (Primary/Secondary),Teacher,75000,0,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Marketing, Advertising & Pr",Pay Per Click Manager,75000,0,United StatesD,United States,Oregon,Portland,8 - 10 years,5 - 7 years,College degree,Non-binary
25-34,Computing Or Tech,Sr. Software Qa Analyst,75000,0,CAD,Canada,Unknown,Kitchener Waterloo ,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Senior Marketing Coordinator,75000,3000,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Nonprofits,Senior Project Manager,75000,0,United StatesD,United States,Georgia,Atlanta,8 - 10 years,2 - 4 years,Master's degree,Man
18-24,Law Enforcement & Security,Bylaw Enforcement Officer,75000,1500,CAD,Canada,Unknown,Chilliwack,8 - 10 years,5 - 7 years,College degree,Man
35-44,Insurance,Product Owner,75000,3000,EUR,Germany,Unknown,Munich,8 - 10 years,5 - 7 years,College degree,Man
35-44,Education (Higher Education),Assistant Director,75000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Sales,Cunited Statestomer Support Manager,75000,4000,United StatesD,United States,Tennessee,Knoxville ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Utilities & Telecommunications,Sales Manager,75000,6000,CAD,Canada,Unknown,Parry Sound,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Treasury Management Sales Officer,75000,25000,United StatesD,United States,Louisiana,New Orleans,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Policy Associate,75000,0,United StatesD,United States,California,San Diego,8 - 10 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman
35-44,Education (Higher Education),Esl Teacher,75000,0,CAD,Canada,Unknown,Ottawa/Gatineau,8 - 10 years,5 - 7 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Payroll,75000,0,AUD/NZD,Australia,Unknown,Brisbane,8 - 10 years,5 - 7 years,High School,Woman
25-34,Bunited Statesiness Or Consulting,Analyst,75000,0,United StatesD,United States,Virginia,"Richmond, VA",8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Utilities & Telecommunications,Software Developer,75000,0,AUD/New ZealandD,New Zealand,Unknown,Auckland,8 - 10 years,2 - 4 years,College degree,Man
25-34,Recruitment Or Hr,Talent Acquisition Coordinator,75000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Team Lead,75000,15000,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Program Manager,75000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Education (Higher Education),Bunited Statesiness Intelligence Specialist,75000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Recruitment Or Hr,Hr Manager,75000,0,United StatesD,United States,New Hampshire,Manchester,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Senior Brand Manager,75000,7500,CAD,Canada,Unknown,Vancouver,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Compliance Associate ,75000,7500,United StatesD,United States,Missouri,St. Louis,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Education (Higher Education),Proposal Development Manager,75000,0,United StatesD,United States,California,Los Angeles,8 - 10 years,1 year or less,PhD,Woman
25-34,Computing Or Tech,Marketing Manager ,75000,8000,United StatesD,United States,California,Los Angeles ,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Social Work,Social Worker,75000,0,CAD,Canada,Unknown,Vancouver,8 - 10 years,2 - 4 years,College degree,Man
25-34,"Marketing, Advertising & Pr",Content Marketing Manager,75000,6000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Ed Tech,Education Program Coordinator,75000,0,CAD,Canada,Unknown,Montreal,8 - 10 years,1 year or less,College degree,Woman
25-34,Education (Higher Education),Gis Specialist,75000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Education (Primary/Secondary),Inclunited Statesion Facilitator,75000,0,United StatesD,United States,New Jersey,Newark ,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,"Marketing, Advertising & Pr",Client Partner,75000,5000,United StatesD,United States,Oregon,Portland,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Education (Primary/Secondary),Teacher,74717,500,AUD/NZD,Australia,Unknown,Melbourne,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Partnership Marketing Manager,74500,0,United StatesD,United States,North Carolina,Charlotte,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Health Care,Social Worker,74500,500,CAD,Canada,Unknown,"Cambridge, ON",8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Law,Staff Attorney,74000,0,United StatesD,United States,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary
25-34,"Accounting, Banking & Finance",Compliance Officer,74000,1000,United StatesD,United States,Oklahoma,Tulsa,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Government And Public Administration,Environmental Scientist,74000,5000,United StatesD,United States,District of Columbia,Washington,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Education (Higher Education),Director Of Advancement Communications ,74000,0,United StatesD,United States,Pennsylvania,Philadelphia ,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Computing Or Tech,Cloud Operations Engineer,74000,0,United StatesD,United States,Oregon,Portland,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Government And Public Administration,Communications And Projects Coordinator,74000,0,CAD,Canada,Unknown,"I'm sorry, I'd rather not say. But Alberta in Canada.",8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,It Support Engineer I,74000,500,United StatesD,United States,California,Santa Monica,8 - 10 years,5 - 7 years,College degree,Man
35-44,Government And Public Administration,Quality Assurance Manager,74000,0,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Retail,Cunited Statestomer Experience Supervisor,74000,720,United StatesD,United States,New York,"New York, NY ",8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Instructional Design Consultant ,74000,7000,United StatesD,United States,Iowa,Des Moines ,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Education (Higher Education),Associate Director Of Admissions ,74000,0,United StatesD,United States,District of Columbia,Washington,8 - 10 years,5 - 7 years,Unknown,Woman
25-34,Law,Associate Attorney,74000,5000,United StatesD,United States,Pennsylvania,Philadelphia,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Engineering Or Manufacturing,Design Engineer,74000,10000,United StatesD,United States,Utah,Brigham City,8 - 10 years,2 - 4 years,Master's degree,Man
25-34,Entertainment,Production Manager,74000,2000,United StatesD,United States,California,Los Angeles,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Ea To The Chief Development Officer,74000,0,United StatesD,United States,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,College degree,Woman
25-34,Education (Primary/Secondary),Senior Data Manager,74000,0,United StatesD,United States,Louisiana,New Orleans,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Education (Higher Education),Associate Director Of Undergraduate Admissions,74000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,Policy Adviser,74000,0,United StatesD,United States,District of Columbia,Washington,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Education (Primary/Secondary),Secondary School Teacher,73629,0,AUD/NZD,Australia,Unknown,Townsville,8 - 10 years,1 year or less,College degree,Woman
25-34,Recruitment Or Hr,Global Payroll And Compensation Analyst,73600,0,United StatesD,United States,California,Santa Clara,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Education (Primary/Secondary),Occupational Therapist,73500,0,United StatesD,United States,New York,New York City,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Recruitment Or Hr,Director Of Peo Human Resources,73500,5000,United StatesD,United States,Tennessee,Knoxville,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Education (Higher Education),Manager Of Communications And Development,73490,0,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Health Care,Clinical Research Monitor,73405,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Recruitment Or Hr,Labour Relations Officer,73320,0,CAD,Canada,Unknown,Halifax,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Marketing Communications Consultant,73000,5000,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Associate Project Manager ,73000,7000,United StatesD,United States,Oregon,Portland ,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Government And Public Administration,Fiscal Analyst,73000,0,United StatesD,United States,Michigan,Lansing,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Risk Operations Analyst,73000,7000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,City Planner,73000,0,United StatesD,United States,Illinois,Chicagoland,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Art & Design,Graphic Designer,73000,3000,United StatesD,United States,California,Los Angeles,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Education (Primary/Secondary),Teacher,73000,0,CAD,Canada,Unknown,Rural school division ,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Law,Legal Secretary ,73000,500,United StatesD,United States,Washington,Seattle,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Media & Digital,United Stateser Experience And Engagement Manager,73000,0,United StatesD,United States,New Jersey,Asbury Park,8 - 10 years,5 - 7 years,College degree,Man
25-34,Engineering Or Manufacturing,Shop Leader,73000,27000,United StatesD,United States,Illinois,Posen,8 - 10 years,11 - 20 years,Some college,Man
25-34,Law,Staff Attorney ,73000,0,United StatesD,United States,Vermont,Waterbury ,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Nonprofits,Member Service Manager,73000,3500,United StatesD,United States,Minnesota,Minneapolis,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Recruitment Or Hr,Hr Generalist,73000,0,United StatesD,United States,New Jersey,Remote,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Real Estate Investment,Associate - Financial Reporting,73000,12000,United StatesD,United States,Colorado,Denver,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Training Consultant/ Program Manager,73000,0,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Project Manager,73000,0,United StatesD,United States,MassachUnited Statesetts,"Cambridge, MA",8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Senior Officer,73000,0,United StatesD,United States,Texas,Dallas,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Education (Higher Education),Program Manager,73000,0,CAD,Canada,Unknown,Vancouver ,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Computing Or Tech,Web Developer,73000,0,United StatesD,United States,Connecticut,Storrs,8 - 10 years,5 - 7 years,PhD,Man
25-34,Nonprofits,Devlopment Manager,73000,0,United StatesD,United States,District of Columbia,Washington,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Bunited Statesiness Or Consulting,Software Licensing Rep,73000,0,United StatesD,United States,North Carolina,Raleigh,8 - 10 years,1 year or less,College degree,Woman
25-34,Media & Digital,Web Production Manager,72800,7500,United StatesD,United States,North Carolina,Chapel Hill,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Health Care,Radiation Therapist,72800,500,United StatesD,United States,Ohio,Dayton,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Health Care,Medical Laboratory Scientist,72800,0,United StatesD,United States,Oregon,Corvallis,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Law,Senior Legal Assistant,72800,0,United StatesD,United States,California,Twentynine Palms,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Utilities & Telecommunications,Human Resources Associate,72633,5000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,1 year or less,College degree,Woman
25-34,Art & Design,Designer,72600,2000,United StatesD,United States,New York,Brooklyn,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Associate Software Engineer,72500,0,United StatesD,United States,Colorado,Remote,8 - 10 years,2 - 4 years,College degree,Man
25-34,Sales,Area Sales Manager,72500,3000,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,5 - 7 years,Some college,Man
25-34,Bunited Statesiness Or Consulting,Client Services Manager,72500,0,United StatesD,United States,North Carolina,Chapel Hill,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Senior Assurance Associate,72300,5000,United StatesD,United States,Colorado,Denver,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Renewable Fuels,Program Manager,72000,7200,EUR,Netherlands,Unknown,Amsterdam,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Senior Marketing Content Producer,72000,1500,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Executive Assistant,72000,5000,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Art & Design,Graphic Designer,72000,2000,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Government And Public Administration,Planner,72000,0,United StatesD,United States,Washington,Everett,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Nonprofits,Senior Grants And Contracts Coordinator,72000,0,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Operations Director,72000,0,United StatesD,United States,Alaska,Juneau,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Government And Public Administration,Cultural Resources Specialist & Archeologist,72000,500,United StatesD,United States,Virginia,McLean,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Engineering Or Manufacturing,Hr Bunited Statesiness Partner,72000,0,United StatesD,United States,Oregon,La Grande,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Education (Higher Education),Associate Professor,72000,2000,United StatesD,United States,Maryland,Columbia,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Gaming (Gambling),Data Analyst,72000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Media & Digital,Production Coordinator,72000,7000,CAD,Canada,Unknown,Vancouver ,8 - 10 years,5 - 7 years,Unknown,Woman
25-34,Nonprofits,Technical Program Manager,72000,0,United StatesD,United States,Maryland,Baltimore,8 - 10 years,5 - 7 years,Master's degree,Woman
45-54,Engineering Or Manufacturing,Quality Engineer,72000,0,United StatesD,United States,Washington,Everett,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Insurance,Claims Operations Analyst,72000,2000,United StatesD,United States,New Jersey,Morristown,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Social Work,Licensed  Independent Clinical Social Worker (Licsw),72000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Non-binary
35-44,Computing Or Tech,Senior Test Automation Engineer,72000,0,EUR,Germany,Unknown,Frankfurt a.M.,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Events Marketing Specialist,72000,4500,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Unknown,Woman
25-34,Insurance,Group Underwriter,72000,5000,United StatesD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5 - 7 years,College degree,Man
25-34,Health Care,Jr Qa Analyst,72000,2000,United StatesD,United States,Pennsylvania,Pittsburgh,8 - 10 years,2 - 4 years,College degree,Man
25-34,"Marketing, Advertising & Pr",Marketing Manager,72000,0,Other,Poland,Unknown,Kraków,8 - 10 years,2 - 4 years,College degree,Man
25-34,Education (Higher Education),Research Analyst,72000,600,United StatesD,United States,Maryland,Baltimore,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Nonprofits,Volunteer & Community Engagement Coordinator ,72000,0,United StatesD,United States,California,Oakland,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Health Care,Biostatistician,72000,200,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Health Care,Database Administrator ,72000,0,United StatesD,United States,Indiana,Indianapolis ,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Education (Higher Education),Librarian,72000,0,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Education (Higher Education),Associate Director Of Development,72000,0,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,Community Development Planner,72000,0,United StatesD,United States,MassachUnited Statesetts,Barnstable,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Nonprofits,"Senior Administrator, International Programs",72000,6000,United StatesD,United States,Virginia,Alexandria,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Recruitment Or Hr,Project Coordinator,72000,10000,United StatesD,United States,New Jersey,Princeton,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Social Work,Therapist,72000,0,United StatesD,United States,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Communications Director ,72000,0,United StatesD,United States,New York,Ithaca,8 - 10 years,5 - 7 years,Some college,Woman
45-54,Government And Public Administration,Bunited Statesiness Intelligence Lead,72000,0,CAD,Canada,Unknown,Fredericton,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Biotechnology,Alliance Manager,72000,32400,United StatesD,United States,Pennsylvania,Philadelphia,8 - 10 years,11 - 20 years,College degree,Woman
35-44,Enviromental ,Project Manager,72000,2000,CAD,Canada,Unknown,Nanaimo,8 - 10 years,5 - 7 years,College degree,Man
35-44,Nonprofits,Systems Analyst,72000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Non-binary
25-34,"Accounting, Banking & Finance",Conventional Mortgage Underwriter ,72000,13000,United StatesD,United States,New York,Fully Remote,8 - 10 years,5 - 7 years,College degree,Woman
45-54,"Accounting, Banking & Finance",Instructional Designer,71750,0,CAD,Canada,Unknown,"Toronto, ON",8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Education (Higher Education),Research Administrator ,71697,0,United StatesD,United States,Pennsylvania,Philadelphia,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Nonprofits,Analytics Manager,71600,0,United StatesD,United States,California,Modesto,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Law,Paralegal,71500,1500,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Recruitment Or Hr,Manager Of People Operations,71500,3000,United StatesD,United States,Colorado,Denver,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Internal Auditor,71500,0,United StatesD,United States,Louisiana,Baton Rouge,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Sales,District Manager,71500,25000,United StatesD,United States,Maryland,White Marsh ,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Health Care,Bunited Statesiness Intelligence Analyst,71488,0,United StatesD,United States,Idaho,Boise,8 - 10 years,2 - 4 years,College degree,Man
25-34,Computing Or Tech,Content Development Manager ,71400,13218,United StatesD,United States,Ohio,Cincinnati,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Project Manager ,71379,0,United StatesD,United States,New York,New York ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Renewable Energy,Creative Services Specialist,71077,1000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Non-binary
25-34,Engineering Or Manufacturing,Executive Assistant,71000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Technical Writer ,71000,0,United StatesD,United States,Colorado,Boulder,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Computing Or Tech,Senior Data Engineer ,71000,6000,GBP,United Kingdom,Unknown,London ,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,"Marketing, Advertising & Pr",Asst. Social Media Manager,71000,0,United StatesD,United States,Georgia,Atlanta,8 - 10 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Translator,71000,5000,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Property Or Construction,Supplier & Subcontractor Program Manager ,71000,10000,United StatesD,United States,California,San Jose ,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Computing Or Tech,Analyst Manager,71000,500,United StatesD,United States,New Hampshire,Conway,8 - 10 years,5 - 7 years,Master's degree,Man
35-44,Nonprofits,Executive Assistant,71000,12000,United StatesD,United States,District of Columbia,Washington DC,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Public Health,Research Associate,71000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Education (Higher Education),Accountant,71000,0,United StatesD,United States,Wisconsin,Madison,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Health Care,Social Worker,71000,1000,United StatesD,United States,Illinois,Champaign,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Education (Higher Education),Assistant Director ,70850,0,United StatesD,United States,District of Columbia,District of Columbia ,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,Project Manager,70600,3000,CAD,Canada,Unknown,Vancouver,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Hr Advisor,70500,0,CAD,Canada,Unknown,Moncton,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Learning Designer,70500,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Libraries,Library Information Supervisor,70291,0,United StatesD,United States,New York,"New York, NY",8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Senior Front-End Developer ,70000,0,United StatesD,United States,New York,New York City,8 - 10 years,2 - 4 years,College degree,Man
25-34,Government And Public Administration,Epidemiologist,70000,0,United StatesD,United States,Ohio,ColumbUnited States,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Nonprofits,Communications Manager,70000,1500,United StatesD,United States,Louisiana,New Orleans ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Accountant ,70000,0,United StatesD,United Kingdom,Unknown,Manchester,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Nonprofits,Information And Program Manager,70000,5000,United StatesD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Engineering Or Manufacturing,Sales Account Manager,70000,0,United StatesD,United States,Wisconsin,Milwaukee,8 - 10 years,2 - 4 years,Master's degree,Man
25-34,"Accounting, Banking & Finance",Reporting Analyst Ii,70000,0,United StatesD,United States,Wisconsin,Milwaukee,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Fire Protection,Client Service Representative,70000,0,United StatesD,United States,Florida,Sarasota,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Marketing, Advertising & Pr",Senior Seo Strategist,70000,3000,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,College degree,Man
35-44,Law,Legal Assistant/Paralegal,70000,1500,United StatesD,United States,Michigan,Detroit,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Marketing, Advertising & Pr",Account Manager,70000,22000,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Technical Writer Ii,70000,0,United StatesD,United States,Colorado,Denver,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Federal Contracting/Bunited Statesiness Development,Proposal Analyst,70000,0,United StatesD,United States,Alabama,Huntsville,8 - 10 years,2 - 4 years,College degree,Man
25-34,Bunited Statesiness Or Consulting,Director Of Operations ,70000,0,United StatesD,United States,Colorado,Denver,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Recruitment Or Hr,Hr Manager,70000,7700,United StatesD,United States,Wisconsin,Milwaukee,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Account Supervisor- Pr,70000,5000,United StatesD,United States,Wisconsin,Milwaukee,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Automation Engineer,70000,0,United StatesD,United States,Minnesota,Minneapolis,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Principal It Consultant,70000,4500,GBP,United Kingdom,Unknown,Manchester,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government Contractor ,Training Specialist ,70000,0,United StatesD,United States,California,San Diego ,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Education (Higher Education),Science Librarian,70000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Digital Marketing Manager,70000,8000,United StatesD,United States,Kansas,Leawood,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Bunited Statesiness Analyst,70000,0,GBP,England,Unknown,London,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Engineering Or Manufacturing,System Engineer Level 2,70000,0,United StatesD,United States,Virginia,Norfolk,8 - 10 years,2 - 4 years,College degree,Man
25-34,"Marketing, Advertising & Pr",Research Manager,70000,0,United StatesD,United States,Michigan,"Detroit, MI",8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Social Work,Marriage & Family Therapist ,70000,0,United StatesD,United States,Pennsylvania,Philadelphia ,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Nonprofits,Grants Manager,70000,0,United StatesD,United States,New York,New York,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Copywriter,70000,5000,United StatesD,United States,MassachUnited Statesetts,Salem,8 - 10 years,5 - 7 years,College degree,Non-binary
25-34,"Accounting, Banking & Finance",Construction Project Accountant,70000,5000,United StatesD,United States,Oregon,Portland,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Financial Planner,70000,20000,United StatesD,United States,West Virginia,Morgantown ,8 - 10 years,5 - 7 years,College degree,Man
35-44,Computing Or Tech,Technical Project Manager,70000,4000,AUD/NZD,Australia,Unknown,AUnited Statestralia not Sydney,8 - 10 years,5 - 7 years,Master's degree,Woman
